date,random_agent,equal_weight,momentum,volatility_weighted,sp500,sp500_gold_50_50
2024-09-30,2.7144490109348176,3.0065434488567813,2.549330060415635,2.8326807272325256,2.2957747037824667,2.2052712967588968
2024-10-31,2.6375503194104573,3.092664908826229,2.6298907873857704,2.880069129046215,2.2752881674720493,2.242837987821185
2024-11-30,2.7880495906992695,3.3292309409549894,2.9419647287568007,2.978668869966462,2.410971479703863,2.2746774259852818
2024-12-31,2.7408034057322395,3.291191386502133,2.920142978688003,2.9282879231548837,2.3450705080977756,2.227566274636621
2025-01-31,2.8999237040565164,3.4223069405988613,3.015223326400102,3.0556896857460494,2.4080506231333674,2.3330554189837436
2025-02-28,2.7288052714529365,3.3222798139233785,2.855261023314399,3.0185051138750527,2.3774807819665438,2.3394962757411526
2025-03-31,2.5148657050693712,3.3047607690482574,2.9035157211303195,2.99433763549738,2.238276323410867,2.3815073290594952
2025-04-30,2.4940013812230553,3.355655763589395,2.937694741138832,3.0572125217454573,2.218869966750224,2.435774913950656
2025-05-31,2.5581921505692495,3.5645490235118378,3.063857334231981,3.2287857030696205,2.3583147365822694,2.511631486380264
2025-06-30,2.4416221149726445,3.6078552805198836,3.047592407310116,3.3123637464638676,2.472191021577523,2.577358953083892
2025-07-31,2.4580181699704684,3.6766318403332687,3.106096859623795,3.356747786315703,2.529129408293926,2.599133766536237
2025-08-31,2.495711246176836,3.649208790412049,3.0012377558659264,3.3990998089611355,2.58102589836335,2.690615649610073
2025-09-30,2.540248205230799,3.7062007071393155,3.0843219997346742,3.555143233479039,2.6655729735779095,2.8928709990679162
2025-10-31,3.3225195860513463,4.2610023012506435,3.1781464334652223,3.8521979445657744,2.729113326487474,2.978824097399266
2025-11-30,3.372927488942489,4.321116868145696,3.2254669065652446,3.904337633333905,2.7344350978526637,3.061677372696275
2025-12-31,3.4144522293815247,4.364140895417295,3.251464444323289,3.9290397554276133,2.7285530886135008,3.091654897498738
2026-01-31,3.608756743126007,4.6380503597847715,3.543476776155895,4.184513300995444,2.768765908182165,3.3041598338686695
2026-02-28,3.736044107818607,4.542936256855206,3.620004063829415,4.182054843899152,2.744838329306674,3.433945272714187
2026-03-31,3.5274578413351083,4.390184549260827,3.339268135256257,3.928652116371138,2.602192828185924,3.154971137776473
2026-04-30,3.712776896472205,4.580475184789209,3.446027999489528,4.202102812791895,2.8755600928690743,3.296383933392391
2026-05-31,3.9282883252506084,4.812095797562441,3.5676746188745208,4.3620028078453945,3.026888548380076,3.357678223470774
